さて	サテ	サテ
今回	コンカイ	コンカイ
は	ハ	ワ
、	、	、
東	ヒガシ	ヒガシ
日本	ニホン	ニホン
大	ダイ	ダイ
震災	シンサイ	シンサイ
に	ニ	ニ
関する	カンスル	カンスル
こと	コト	コト
、	、	、
そして	ソシテ	ソシテ
5	ゴ	ゴ
月	ガツ	ガツ
から	カラ	カラ
始まり	ハジマリ	ハジマリ
ます	マス	マス
「	「	「
みんな	ミンナ	ミンナ
で	デ	デ
語ろう	カタロウ	カタロー
!	!	!
~	~	~
いな	イナ	イナ
むら	ムラ	ムラ
市長	シチョウ	シチョー
と	ト	ト
とも	トモ	トモ
に	ニ	ニ
車座	クルマザ	クルマザ
集会	シュウカイ	シューカイ
~	~	~
」	」	」
と	ト	ト
「	「	「
市長	シチョウ	シチョー
と	ト	ト
語ろう	カタロウ	カタロー
!	!	!
~	~	~
いな	イナ	イナ
むら	ムラ	ムラ
市長	シチョウ	シチョー
の	ノ	ノ
見せ	ミセ	ミセ
て	テ	テ
・	・	・
聴か	キカ	キカ
せ	セ	セ
て	テ	テ
あまがさき	アマガサキ	アマガサキ
~	~	~
」	」	」
に	ニ	ニ
つい	ツイ	ツイ
て	テ	テ
お	オ	オ
話	ハナシ	ハナシ
を	ヲ	オ
伺い	ウカガイ	ウカガイ
たい	タイ	タイ
と	ト	ト
思い	オモイ	オモイ
ます	マス	マス
。	。	。
EOS
どうぞ	ドウゾ	ドーゾ
、	、	、
よろしく	ヨロシク	ヨロシク
お	オ	オ
願い	ネガイ	ネガイ
し	シ	シ
ます	マス	マス
。	。	。
EOS
まず	マズ	マズ
は	ハ	ワ
、	、	、
この	コノ	コノ
度	タビ	タビ
の	ノ	ノ
東	ヒガシ	ヒガシ
日本	ニホン	ニホン
大	ダイ	ダイ
震災	シンサイ	シンサイ
で	デ	デ
被災	ヒサイ	ヒサイ
さ	サ	サ
れ	レ	レ
た	タ	タ
方々	カタガタ	カタガタ
に	ニ	ニ
心	ココロ	ココロ
から	カラ	カラ
お	オ	オ
見舞い	ミマイ	ミマイ
を	ヲ	オ
申し上げ	モウシアゲ	モーシアゲ
ます	マス	マス
。	。	。
EOS
また	マタ	マタ
、	、	、
お	オ	オ
亡くなり	ナクナリ	ナクナリ
に	ニ	ニ
なら	ナラ	ナラ
れ	レ	レ
た	タ	タ
方々	カタガタ	カタガタ
の	ノ	ノ
ご	ゴ	ゴ
冥福	メイフク	メーフク
を	ヲ	オ
深く	フカク	フカク
お	オ	オ
祈り	イノリ	イノリ
いたし	イタシ	イタシ
ます	マス	マス
。	。	。
EOS
尼崎	アマガサキ	アマガサキ
市	シ	シ
で	デ	デ
も	モ	モ
震災	シンサイ	シンサイ
発生	ハッセイ	ハッセー
直後	チョクゴ	チョクゴ
から	カラ	カラ
、	、	、
消防	ショウボウ	ショーボー
、	、	、
水道	スイドウ	スイドー
、	、	、
そして	ソシテ	ソシテ
その	ソノ	ソノ
あと	アト	アト
は	ハ	ワ
、	、	、
心	ココロ	ココロ
の	ノ	ノ
ケア	ケア	ケア
や	ヤ	ヤ
健康	ケンコウ	ケンコー
の	ノ	ノ
チェック	チェック	チェック
に	ニ	ニ
あたる	アタル	アタル
保健	ホケン	ホケン
師	シ	シ
です	デス	デス
と	ト	ト
か	カ	カ
、	、	、
避難	ヒナン	ヒナン
所	ショ	ショ
の	ノ	ノ
運営	ウンエイ	ウンエー
の	ノ	ノ
お	オ	オ
