J	ジェー	ジェー
-		
WAVE	ウエーブ	ウエーブ
360	スリーシックスティー	スリーシックスティー
Forum	フォーラム	フォーラム
~		
Seek	シーク	シーク
and	アンド	アンド
Find	ファインド	ファインド
~		
。	。	。
EOS
8	ハチ	ハチ
月	ガツ	ガツ
の	ノ	ノ
テーマ	テーマ	テーマ
は	ハ	ワ
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
。	。	。
EOS
英語	エイゴ	エーゴ
の	ノ	ノ
F	エフ	エフ
・	・	・
R	アール	アール
・	・	・
E	イー	イー
・	・	・
E	イー	イー
、	、	、
「	「	「
フリー	フリー	フリー
」	」	」
に	ニ	ニ
は	ハ	ワ
幅広い	ハバヒロイ	ハバヒロイ
意味	イミ	イミ
が	ガ	ガ
あり	アリ	アリ
ます	マス	マス
。	。	。
EOS
It	イット	イット
'	'	'
s	エス	エス
f	エフ	エフ
r	アール	アール
e	イー	イー
e	イー	イー
.	.	.
と	ト	ト
言わ	イワ	イワ
れれ	レレ	レレ
ば	バ	バ
、	、	、
それ	ソレ	ソレ
は	ハ	ワ
無料	ムリョウ	ムリョー
です	デス	デス
よ	ヨ	ヨ
と	ト	ト
いう	ユウ	ユー
意味	イミ	イミ
です	デス	デス
が	ガ	ガ
、	、	、
Smoke	スモーク	スモーク
free	フリー	フリー
は	ハ	ワ
無煙	ムエン	ムエン
、	、	、
煙	ケムリ	ケムリ
が	ガ	ガ
ない	ナイ	ナイ
と	ト	ト
いう	ユウ	ユー
意味	イミ	イミ
。	。	。
EOS
無料	ムリョウ	ムリョー
で	デ	デ
タバコ	タバコ	タバコ
が	ガ	ガ
吸え	スエ	スエ
ます	マス	マス
と	ト	ト
いう	ユウ	ユー
意味	イミ	イミ
じゃ	ジャ	ジャ
ない	ナイ	ナイ
です	デス	デス
よ	ヨ	ヨ
、	、	、
これ	コレ	コレ
。	。	。
EOS
Free	フリー	フリー
alcohol	アルコホール	アルコホール
と	ト	ト
入り口	イリグチ	イリグチ
に	ニ	ニ
書い	カイ	カイ
て	テ	テ
あっ	アッ	アッ
たら	タラ	タラ
それ	ソレ	ソレ
は	ハ	ワ
「	「	「
今夜	コンヤ	コンヤ
お	オ	オ
酒	サケ	サケ
は	ハ	ワ
無料	ムリョウ	ムリョー
です	デス	デス
」	」	」
。	。	。
EOS
で	デ	デ
も	モ	モ
、	、	、
alcohol	アルコホール	アルコホール
free	フリー	フリー
なら	ナラ	ナラ
アルコール	アルコール	アルコール
ゼロ	ゼロ	ゼロ
と	ト	ト
か	カ	カ
アルコール	アルコール	アルコール
は	ハ	ワ
出し	ダシ	ダシ
ませ	マセ	マセ
ん	ン	ン
と	ト	ト
いう	ユウ	ユー
意味	イミ	イミ
に	ニ	ニ
なり	ナリ	ナリ
ます	マス	マス
。	。	。
EOS
で	デ	デ
は	ハ	ワ
Free	フリー	フリー
culture	カルチャー	カルチャー
、	、	、
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
と	ト	ト
は	ハ	ワ
。	。	。
EOS
先日	センジツ	センジツ
フィルム	フィルム	フィルム
アート	アート	アート
社	シャ	シャ
から	カラ	カラ
「	「	「
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
を	ヲ	オ
つくる	ツクル	ツクル
ため	タメ	タメ
の	ノ	ノ
ガイドブック	ガイドブック	ガイドブック
」	」	」
と	ト	ト
いう	ユウ	ユー
本	ホン	ホン
を	ヲ	オ
出版	シュッパン	シュッパン
さ	サ	サ
れ	レ	レ
た	タ	タ
NPO	エヌピーオー	エヌピーオー
法人	ホウジン	ホージン
クリエイティブ	クリエイティブ	クリエーティブ
・	・	・
コモンズ	コモンズ	コモンズ
・	・	・
ジャパン	ジャパン	ジャパン
理事	リジ	リジ
ドミニク	ドミニク	ドミニク
・	・	・
チェン	チェン	チェン
さん	サン	サン
に	ニ	ニ
お	オ	オ
聞き	キキ	キキ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
ドミニク	ドミニク	ドミニク
さん	サン	サン
、	、	、
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
って	ッテ	ッテ
何	ナン	ナン
でしょう	デショウ	デショー
か	カ	カ
?	?	?
フリー	フリー	フリー
カルチャー	カルチャー	カルチャー
って	ッテ	ッテ
の	ノ	ノ
は	ハ	ワ
、	、	、
直訳	チョクヤク	チョクヤク
する	スル	スル
と	ト	ト
です	デス	デス
ね	ネ	ネ
「	「	「
自由	ジユウ	ジユー
な	ナ	ナ
文化	ブンカ	ブンカ
」	」	」
って	ッテ	ッテ
いう	ユウ	ユー
意味	イミ	イミ
に	ニ	ニ
なり	ナリ	ナリ
ます	マス	マス
。	。	。
EOS
で	デ	デ
、	、	、
よく	ヨク	ヨク
ある	アル	アル
誤解	ゴカイ	ゴカイ
と	ト	ト
