ごん	ゴン	ゴン
狐	ギツネ	ギツネ
EOS
新美	ニイミ	ニーミ
南吉	ナンキチ	ナンキチ
EOS
これ	コレ	コレ
は	ハ	ワ
、	、	、
私	ワタクシ	ワタクシ
が	ガ	ガ
小さい	チイサイ	チーサイ
とき	トキ	トキ
に	ニ	ニ
、	、	、
村	ムラ	ムラ
の	ノ	ノ
茂平	モヘイ	モヘー
と	ト	ト
いう	イウ	イウ
お	オ	オ
じい	ジイ	ジー
さん	サン	サン
から	カラ	カラ
きい	キイ	キー
た	タ	タ
お	オ	オ
話	ハナシ	ハナシ
です	デス	デス
。	。	。
EOS
むかし	ムカシ	ムカシ
は	ハ	ワ
、	、	、
私	ワタクシ	ワタクシ
たち	タチ	タチ
の	ノ	ノ
村	ムラ	ムラ
の	ノ	ノ
ちかく	チカク	チカク
の	ノ	ノ
、	、	、
中山	ナカヤマ	ナカヤマ
と	ト	ト
いう	ユウ	ユー
ところ	トコロ	トコロ
に	ニ	ニ
小さな	チイサナ	チーサナ
お	オ	オ
城	シロ	シロ
が	ガ	ガ
あっ	アッ	アッ
て	テ	テ
、	、	、
中山	ナカヤマ	ナカヤマ
さま	サマ	サマ
と	ト	ト
いう	ユウ	ユー
おと	オト	オト
の	ノ	ノ
さま	サマ	サマ
が	ガ	ガ
、	、	、
おら	オラ	オラ
れ	レ	レ
た	タ	タ
そう	ソウ	ソー
です	デス	デス
。	。	。
EOS
その	ソノ	ソノ
中山	ナカヤマ	ナカヤマ
から	カラ	カラ
、	、	、
少し	スコシ	スコシ
はなれ	ハナレ	ハナレ
た	タ	タ
山	ヤマ	ヤマ
の	ノ	ノ
中	ナカ	ナカ
に	ニ	ニ
、	、	、
「	「	「
ごん	ゴン	ゴン
狐	ギツネ	ギツネ
」	」	」
と	ト	ト
いう	ユウ	ユー
狐	キツネ	キツネ
が	ガ	ガ
い	イ	イ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
ごん	ゴン	ゴン
は	ハ	ワ
、	、	、
一人ぼっち	ヒトリボッチ	ヒトリボッチ
の	ノ	ノ
小	コ	コ
狐	ギツネ	ギツネ
で	デ	デ
、	、	、
しだ	シダ	シダ
の	ノ	ノ
一ぱい	イッパイ	イッパイ
しげっ	シゲッ	シゲッ
た	タ	タ
森	モリ	モリ
の	ノ	ノ
中	ナカ	ナカ
に	ニ	ニ
穴	アナ	アナ
を	ヲ	オ
ほっ	ホッ	ホッ
て	テ	テ
住ん	スン	スン
で	デ	デ
い	イ	イ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
そして	ソシテ	ソシテ
、	、	、
夜	ヨル	ヨル
で	デ	デ
も	モ	モ
昼	ヒル	ヒル
で	デ	デ
も	モ	モ
、	、	、
あたり	アタリ	アタリ
の	ノ	ノ
村	ムラ	ムラ
へ	ヘ	エ
出	デ	デ
て	テ	テ
き	キ	キ
て	テ	テ
、	、	、
いたずら	イタズラ	イタズラ
ばかり	バカリ	バカリ
し	シ	シ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
はたけ	ハタケ	ハタケ
へ	ヘ	エ
入っ	ハイッ	ハイッ
て	テ	テ
芋	イモ	イモ
を	ヲ	オ
ほり	ホリ	ホリ
ちら	チラ	チラ
し	シ	シ
たり	タリ	タリ
、	、	、
菜種	ナタネ	ナタネ
がら	ガラ	ガラ
の	ノ	ノ
、	、	、
ほし	ホシ	ホシ
て	テ	テ
ある	アル	アル
の	ノ	ノ
へ	ヘ	エ
火	ヒ	ヒ
を	ヲ	オ
つけ	ツケ	ツケ
たり	タリ	タリ
、	、	、
百姓	ヒャクショウ	ヒャクショー
家	ヤ	ヤ
の	ノ	ノ
裏手	ウラテ	ウラテ
に	ニ	ニ
つるし	ツルシ	ツルシ
て	テ	テ
ある	アル	アル
とんがらし	トンガラシ	トンガラシ
を	ヲ	オ
むしりとっ	ムシリトッ	ムシリトッ
て	テ	テ
、	、	、
いっ	イッ	イッ
たり	タリ	タリ
、	、	、
いろんな	イロンナ	イロンナ
こと	コト	コト
を	ヲ	オ
し	シ	シ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
或	アル	アル
秋	アキ	アキ
の	ノ	ノ
こと	コト	コト
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
二	ニ	ニ
、	、	、
三	サン	サン
日	ニチ	ニチ
雨	アメ	アメ
が	ガ	ガ
ふり	フリ	フリ
つづい	ツヅイ	ツズイ
た	タ	タ
