蜘蛛	クモ	クモ
の	ノ	ノ
糸	イト	イト
EOS
芥川	アクタガワ	アクタガワ
龍之介	リュウノスケ	リューノスケ
EOS
ある	アル	アル
日	ヒ	ヒ
の	ノ	ノ
事	コト	コト
で	デ	デ
ござい	ゴザイ	ゴザイ
ます	マス	マス
。	。	。
EOS
御釈迦様	オシャカサマ	オシャカサマ
は	ハ	ワ
極楽	ゴクラク	ゴクラク
の	ノ	ノ
蓮池	ハスイケ	ハスイケ
の	ノ	ノ
ふち	フチ	フチ
を	ヲ	オ
、	、	、
独り	ヒトリ	ヒトリ
で	デ	デ
ぶらぶら	ブラブラ	ブラブラ
御	オ	オ
歩き	アルキ	アルキ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
いらっしゃい	イラッシャイ	イラッシャイ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
池	イケ	イケ
の	ノ	ノ
中	ナカ	ナカ
に	ニ	ニ
咲い	サイ	サイ
て	テ	テ
いる	イル	イル
蓮	ハス	ハス
の	ノ	ノ
花	ハナ	ハナ
は	ハ	ワ
、	、	、
みんな	ミンナ	ミンナ
玉	タマ	タマ
の	ノ	ノ
よう	ヨウ	ヨー
に	ニ	ニ
まっ白	マッシロ	マッシロ
で	デ	デ
、	、	、
その	ソノ	ソノ
まん中	マンナカ	マンナカ
に	ニ	ニ
ある	アル	アル
金色	キンイロ	キンイロ
の	ノ	ノ
蕊	ズイ	ズイ
から	カラ	カラ
は	ハ	ワ
、	、	、
何	ナン	ナン
と	ト	ト
も	モ	モ
云え	イエ	イエ
ない	ナイ	ナイ
好い	ヨイ	ヨイ
匂	ニオイ	ニオイ
が	ガ	ガ
、	、	、
絶間	タエマ	タエマ
なく	ナク	ナク
あたり	アタリ	アタリ
へ	ヘ	エ
溢れ	アフレ	アフレ
て	テ	テ
居り	オリ	オリ
ます	マス	マス
。	。	。
EOS
極楽	ゴクラク	ゴクラク
は	ハ	ワ
丁度	チョウド	チョード
朝	アサ	アサ
な	ナ	ナ
の	ノ	ノ
で	デ	デ
ござい	ゴザイ	ゴザイ
ましょう	マショウ	マショー
。	。	。
EOS
やがて	ヤガテ	ヤガテ
御釈迦様	オシャカサマ	オシャカサマ
は	ハ	ワ
その	ソノ	ソノ
池	イケ	イケ
の	ノ	ノ
ふち	フチ	フチ
に	ニ	ニ
御	オ	オ
佇み	タタズミ	タタズミ
に	ニ	ニ
なっ	ナッ	ナッ
て	テ	テ
、	、	、
水	ミズ	ミズ
の	ノ	ノ
面	オモテ	オモテ
を	ヲ	オ
蔽っ	オオッ	オーッ
て	テ	テ
いる	イル	イル
蓮	ハス	ハス
の	ノ	ノ
葉	ハ	ハ
の	ノ	ノ
間	アイダ	アイダ
から	カラ	カラ
、	、	、
ふと	フト	フト
下	シタ	シタ
の	ノ	ノ
容子	ヨウス	ヨース
を	ヲ	オ
御覧	ゴラン	ゴラン
に	ニ	ニ
なり	ナリ	ナリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
この	コノ	コノ
極楽	ゴクラク	ゴクラク
の	ノ	ノ
蓮池	ハスイケ	ハスイケ
の	ノ	ノ
下	シタ	シタ
は	ハ	ワ
、	、	、
丁度	チョウド	チョード
地獄	ジゴク	ジゴク
の	ノ	ノ
底	ソコ	ソコ
に	ニ	ニ
当っ	アタッ	アタッ
て	テ	テ
居り	オリ	オリ
ます	マス	マス
から	カラ	カラ
、	、	、
水晶	スイショウ	スイショー
の	ノ	ノ
よう	ヨウ	ヨー
な	ナ	ナ
水	ミズ	ミズ
を	ヲ	オ
透き	スキ	スキ
徹し	トオシ	トーシ
て	テ	テ
、	、	、
三途	サンズ	サンズ
の	ノ	ノ
河	カワ	カワ
や	ヤ	ヤ
針	ハリ	ハリ
の	ノ	ノ
山	ヤマ	ヤマ
の	ノ	ノ
