ねずみ	ネズミ	ネズミ
の	ノ	ノ
嫁入り	ヨメイリ	ヨメイリ
EOS
楠山	クスヤマ	クスヤマ
正雄	マサオ	マサオ
EOS
むかし	ムカシ	ムカシ
、	、	、
むかし	ムカシ	ムカシ
、	、	、
ある	アル	アル
家	イエ	イエ
の	ノ	ノ
お	オ	オ
倉	クラ	クラ
の	ノ	ノ
中	ナカ	ナカ
に	ニ	ニ
、	、	、
お	オ	オ
米	コメ	コメ
を	ヲ	オ
持っ	モッ	モッ
て	テ	テ
、	、	、
麦	ムギ	ムギ
を	ヲ	オ
持っ	モッ	モッ
て	テ	テ
、	、	、
粟	アワ	アワ
を	ヲ	オ
持っ	モッ	モッ
て	テ	テ
、	、	、
豆	マメ	マメ
を	ヲ	オ
持っ	モッ	モッ
て	テ	テ
、	、	、
たいそう	タイソウ	タイソー
ゆたか	ユタカ	ユタカ
に	ニ	ニ
暮らし	クラシ	クラシ
て	テ	テ
いる	イル	イル
お	オ	オ
金持ち	カネモチ	カネモチ
の	ノ	ノ
ねずみ	ネズミ	ネズミ
が	ガ	ガ
住ん	スン	スン
で	デ	デ
おり	オリ	オリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
子供	コドモ	コドモ
が	ガ	ガ
ない	ナイ	ナイ
の	ノ	ノ
で	デ	デ
神	カミ	カミ
さま	サマ	サマ
に	ニ	ニ
お	オ	オ
願い	ネガイ	ネガイ
し	シ	シ
ます	マス	マス
と	ト	ト
、	、	、
やっと	ヤット	ヤット
女の子	オンナノコ	オンナノコ
が	ガ	ガ
生まれ	ウマレ	ウマレ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
その	ソノ	ソノ
子	コ	コ
は	ハ	ワ
ずんずん	ズンズン	ズンズン
大きく	オオキク	オーキク
なっ	ナッ	ナッ
て	テ	テ
、	、	、
かがやく	カガヤク	カガヤク
ほど	ホド	ホド
美しく	ウツクシク	ウツクシク
なっ	ナッ	ナッ
て	テ	テ
、	、	、
それ	ソレ	ソレ
は	ハ	ワ
ねずみ	ネズミ	ネズミ
の	ノ	ノ
お	オ	オ
国	クニ	クニ
で	デ	デ
だれ	ダレ	ダレ
一人	ヒトリ	ヒトリ
くらべる	クラベル	クラベル
もの	モノ	モノ
の	ノ	ノ
ない	ナイ	ナイ
日本	ニホン	ニホン
一	イチ	イチ
の	ノ	ノ
いい	イイ	イー
娘	ムスメ	ムスメ
に	ニ	ニ
なり	ナリ	ナリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
こう	コウ	コー
なる	ナル	ナル
と	ト	ト
、	、	、
もう	モウ	モー
ねずみ	ネズミ	ネズミ
の	ノ	ノ
仲間	ナカマ	ナカマ
に	ニ	ニ
は	ハ	ワ
見わたし	ミワタシ	ミワタシ
た	タ	タ
ところ	トコロ	トコロ
、	、	、
とても	トテモ	トテモ
娘	ムスメ	ムスメ
の	ノ	ノ
お	オ	オ
婿	ムコ	ムコ
さん	サン	サン
に	ニ	ニ
する	スル	スル
よう	ヨウ	ヨー
な	ナ	ナ
者	モノ	モノ
は	ハ	ワ
あり	アリ	アリ
ませ	マセ	マセ
ん	ン	ン
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
ねずみ	ネズミ	ネズミ
の	ノ	ノ
お	オ	オ
とう	トウ	トー
さん	サン	サン
と	ト	ト
お	オ	オ
かあ	カア	カー
さん	サン	サン
は	ハ	ワ
、	、	、
EOS
「	「	「
うち	ウチ	ウチ
の	ノ	ノ
娘	ムスメ	ムスメ
は	ハ	ワ
日本	ニホン	ニホン
一	イチ	イチ
の	ノ	ノ
娘	ムスメ	ムスメ
な	ナ	ナ
の	ノ	ノ
だ	ダ	ダ
から	カラ	カラ
、	、	、
何	ナン	ナン
で	デ	デ
も	モ	モ
日本	ニホン	ニホン
一	イチ	イチ
の	ノ	ノ
お	オ	オ
婿	ムコ	ムコ
さん	サン	サン
を	ヲ	オ
もらわ	モラワ	モラワ
なけれ	ナケレ	ナケレ
ば	バ	バ
なら	ナラ	ナラ
ない	ナイ	ナイ
。	。	。
EOS
」	」	」
EOS
と	ト	ト
言い	イイ	イー
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
そこ	ソコ	ソコ
で	デ	デ
この	コノ	コノ
世の中	ヨノナカ	ヨノナカ
で	デ	デ
だれ	ダレ	ダレ
が	ガ	ガ
いちばん	イチバン	イチバン
えらい	エライ	エライ
か	カ	カ
と	ト	ト
いう	イウ	イウ
と	ト	ト
、	、	、
それ	ソレ	ソレ
は	ハ	ワ
高い	タカイ	タカイ	たかーい	タカーイ
高い	タカイ	タカイ	たかーい	タカーイ
空	ソラ	ソラ
の	ノ	ノ
上	ウエ	ウエ
から	カラ	カラ
