手袋	テブクロ	テブクロ
を	ヲ	オ
買い	カイ	カイ
に	ニ	ニ
EOS
新美	ニイミ	ニーミ
南吉	ナンキチ	ナンキチ
EOS
寒い	サムイ	サムイ
冬	フユ	フユ
が	ガ	ガ
北方	ホッポウ	ホッポー
から	カラ	カラ
、	、	、
狐	キツネ	キツネ
の	ノ	ノ
親子	オヤコ	オヤコ
の	ノ	ノ
棲ん	スン	スン
で	デ	デ
いる	イル	イル
森	モリ	モリ
へ	ヘ	エ
も	モ	モ
やっ	ヤッ	ヤッ
て	テ	テ
来	キ	キ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
或	アル	アル
朝	アサ	アサ
洞穴	ホラアナ	ホラアナ
から	カラ	カラ
子供	コドモ	コドモ
の	ノ	ノ
狐	キツネ	キツネ
が	ガ	ガ
出よう	デヨウ	デヨー
と	ト	ト
し	シ	シ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
、	、	、
EOS
「	「	「
あっ	アッ	アッ
」	」	」
と	ト	ト
叫ん	サケン	サケン
で	デ	デ
眼	メ	メ
を	ヲ	オ
抑え	オサエ	オサエ
ながら	ナガラ	ナガラ
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
の	ノ	ノ
ところ	トコロ	トコロ
へ	ヘ	エ
ころげ	コロゲ	コロゲ
て	テ	テ
来	キ	キ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
「	「	「
母	カア	カー
ちゃん	チャン	チャン
、	、	、
眼	メ	メ
に	ニ	ニ
何	ナニ	ナニ
か	カ	カ
刺さっ	ササッ	ササッ
た	タ	タ
、	、	、
ぬい	ヌイ	ヌイ
て	テ	テ
頂戴	チョウダイ	チョーダイ
早く	ハヤク	ハヤク
早く	ハヤク	ハヤク
」	」	」
と	ト	ト
言い	イイ	イー
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
が	ガ	ガ
びっくり	ビックリ	ビックリ
し	シ	シ
て	テ	テ
、	、	、
あわてふためき	アワテフタメキ	アワテフタメキ
ながら	ナガラ	ナガラ
、	、	、
眼	メ	メ
を	ヲ	オ
抑え	オサエ	オサエ
て	テ	テ
いる	イル	イル
子供	コドモ	コドモ
の	ノ	ノ
手	テ	テ
を	ヲ	オ
恐る恐る	オソルオソル	オソルオソル
とりのけ	トリノケ	トリノケ
て	テ	テ
見	ミ	ミ
まし	マシ	マシ
た	タ	タ
が	ガ	ガ
、	、	、
何	ナニ	ナニ
も	モ	モ
刺さっ	ササッ	ササッ
て	テ	テ
は	ハ	ワ
い	イ	イ
ませ	マセ	マセ
ん	ン	ン
でし	デシ	デシ
た	タ	タ
。	。	。
EOS
母	カア	カー
さん	サン	サン
狐	ギツネ	ギツネ
は	ハ	ワ
洞穴	ホラアナ	ホラアナ
の	ノ	ノ
入口	イリグチ	イリグチ
から	カラ	カラ
外	ソト	ソト
へ	ヘ	エ
出	デ	デ
て	テ	テ
始め	ハジメ	ハジメ
て	テ	テ
わけ	ワケ	ワケ
が	ガ	ガ
解り	ワカリ	ワカリ
まし	マシ	マシ
た	タ	タ
。	。	。
EOS
昨夜	サクヤ	サクヤ
の	ノ	ノ
うち	ウチ	ウチ
に	ニ	ニ
、	、	、
真白	マッシロ	マッシロ
な	ナ	ナ
雪	ユキ	ユキ
が	ガ	ガ
どっさり	ドッサリ	ドッサリ
降っ	フッ	フッ
た	タ	タ
の	ノ	ノ
です	デス	デス
。	。	。
EOS
その	ソノ	ソノ
雪	ユキ	ユキ
の	ノ	ノ
上	ウエ	ウエ
から	カラ	カラ
お	オ	オ
